Designator,Val,Package,MidX,MidY,Rotation,Layer
BT1,Battery_Cell,BatteryHolder_Keystone_3034_1x20mm,90.000000,-122.500000,-90.000000,top
C1,100n,C_0402_1005Metric,152.300000,-138.300000,90.000000,top
C2,10u,C_0805_2012Metric,187.500000,-128.300000,180.000000,top
C3,100n,C_0402_1005Metric,175.050000,-140.925000,-90.000000,top
C4,100n,C_0402_1005Metric,183.975000,-137.325000,-90.000000,top
C5,10u,C_0805_2012Metric,199.450000,-143.750000,180.000000,top
C6,10u,C_0805_2012Metric,183.000000,-131.600000,90.000000,top
C7,100n,C_0402_1005Metric,173.100000,-126.200000,-90.000000,top
C8,27pF,C_0402_1005Metric,173.000000,-138.800000,90.000000,top
C9,27pF,C_0402_1005Metric,173.000000,-136.600000,-90.000000,top
C10,10u,C_0805_2012Metric,175.578000,-132.244000,180.000000,top
C11,100n,C_0402_1005Metric,183.960000,-140.372000,-90.000000,top
C12,100n,C_0402_1005Metric,111.550000,-149.500000,90.000000,top
C13,100n,C_0402_1005Metric,117.000000,-149.600000,90.000000,top
C14,100n,C_0402_1005Metric,175.204000,-135.768000,90.000000,top
C15,100n,C_0402_1005Metric,180.100000,-142.800000,-45.000000,top
C16,100uF,CP_EIA-7343-31_Kemet-D,194.200000,-131.000000,0.000000,top
C17,10u,C_0805_2012Metric,166.450000,-141.972980,180.000000,top
C18,100uF,CP_EIA-7343-31_Kemet-D,204.700000,-86.000000,90.000000,top
C19,10u,C_0805_2012Metric,190.762500,-137.400000,0.000000,top
C20,10u,C_0805_2012Metric,170.200000,-142.600000,0.000000,top
C21,10u,C_0805_2012Metric,186.700000,-137.400000,180.000000,top
C22,100n,C_0402_1005Metric,127.872000,-116.440000,180.000000,top
C23,100n,C_0402_1005Metric,201.700000,-76.900000,-90.000000,top
C24,100n,C_0402_1005Metric,123.538000,-118.456000,180.000000,top
C25,10u 35v,C_0805_2012Metric,226.600000,-130.700000,180.000000,top
C26,10u 35v,C_0805_2012Metric,230.150000,-130.700000,0.000000,top
C27,10u 35v,C_0805_2012Metric,226.600000,-132.600000,180.000000,top
C28,10u 35v,C_0805_2012Metric,230.150000,-132.600000,0.000000,top
C29,100n,C_0402_1005Metric,226.350000,-119.062500,90.000000,top
C30,10u,C_0805_2012Metric,221.100000,-126.112500,0.000000,top
C31,10u,C_0805_2012Metric,221.100000,-128.212500,0.000000,top
C32,10u,C_0805_2012Metric,218.300000,-129.362500,-90.000000,top
C33,10u,C_0805_2012Metric,216.200000,-129.362500,-90.000000,top
C34,10u 35v,C_0805_2012Metric,226.650000,-100.050000,180.000000,top
